,Aggressive Advances,Cautious Advances,Distracted Advances,Learning Advances,Run,,,,,,
49,76,95,133,76,4,,,,,,
50,60,60,120,80,4,,,,,,
51,63,63,126,63,4,,,,,,
52,66,66,132,44,4,,,,,,
53,69,46,138,46,4,,,,,,
54,24,24,144,48,4,,,,,,
55,25,25,100,50,4,,,,,,
56,26,26,78,52,4,,,,,,
57,27,27,54,54,4,,,,,,
58,28,28,28,28,4,,,,,,
59,29,29,29,29,4,,,,,,
60,0,30,30,30,4,,,,,,
61,0,31,31,31,4,,,,,,
62,0,32,32,32,4,,,,,,
63,0,33,33,33,4,,,,,,
64,0,34,34,34,4,,,,,,
65,0,35,0,35,4,,,,,,
66,7,9,10,4,4,,,,,,
67,14,18,20,8,4,,,,,,
68,21,27,30,12,4,,,,,,
69,28,36,36,16,4,,,,,,
70,35,45,45,20,4,,,,,,
71,42,54,54,24,4,,,,,,
72,42,63,63,28,4,,,,,,
73,48,72,72,32,4,,,,,,
74,54,81,72,36,4,,,,,,
75,60,90,80,40,4,,,,,,
76,66,99,88,44,4,,,,,,
77,72,108,96,48,4,,,,,,
78,65,117,104,52,4,,,,,,
79,70,126,112,56,4,,,,,,
80,75,120,120,60,4,,,,,,
81,80,128,128,48,4,,,,,,
82,85,119,136,51,4,,,,,,
83,90,126,144,54,4,,,,,,
84,95,133,152,38,4,,,,,,
85,100,140,160,40,4,,,,,,
86,84,147,168,42,4,,,,,,
87,88,154,176,44,4,,,,,,
88,92,161,161,46,4,,,,,,
89,96,168,120,48,4,,,,,,
90,100,150,100,50,4,,,,,,
91,78,78,104,52,4,,,,,,
92,81,81,54,54,4,,,,,,
93,84,84,56,56,4,,,,,,
94,58,29,58,58,4,,,,,,
95,60,30,30,60,4,,,,,,
96,31,31,31,31,4,,,,,,
97,32,0,32,32,4,,,,,,
98,33,0,33,0,4,,,,,,
99,0,0,34,0,4,,,,,,
0,4,7,9,10,5,,,,,,
1,8,14,18,20,5,,,,,,
2,12,18,27,30,5,,,,,,
3,16,24,36,40,5,,,,,,
4,20,30,45,45,5,,,,,,
5,24,36,54,54,5,,,,,,
6,21,42,63,63,5,,,,,,
7,24,40,72,64,5,,,,,,
8,27,45,81,72,5,,,,,,
9,30,40,90,80,5,,,,,,
10,33,33,99,88,5,,,,,,
11,36,36,84,96,5,,,,,,
12,26,39,91,104,5,,,,,,
13,28,42,98,112,5,,,,,,
14,30,30,105,120,5,,,,,,
15,32,32,96,128,5,,,,,,
16,34,34,102,136,5,,,,,,
17,36,18,90,144,5,,,,,,
18,38,19,95,152,5,,,,,,
19,40,20,100,140,5,,,,,,
20,42,0,84,147,5,,,,,,
21,44,0,88,132,5,,,,,,
22,46,0,92,92,5,,,,,,
23,48,0,96,72,5,,,,,,
24,25,0,75,75,5,,,,,,
25,26,0,78,52,5,,,,,,
26,27,0,81,54,5,,,,,,
27,0,0,84,56,5,,,,,,
28,0,0,87,29,5,,,,,,
29,0,0,60,30,5,,,,,,
30,0,0,62,0,5,,,,,,
31,0,0,32,0,5,,,,,,
32,6,13,5,6,5,,,,,,
33,12,26,10,12,5,,,,,,
34,18,39,15,18,5,,,,,,
35,24,52,20,24,5,,,,,,
36,30,65,25,30,5,,,,,,
37,36,78,30,36,5,,,,,,
38,42,91,35,42,5,,,,,,
39,48,104,40,48,5,,,,,,
40,54,117,45,45,5,,,,,,
41,60,120,50,50,5,,,,,,
42,66,132,55,55,5,,,,,,
43,72,144,60,60,5,,,,,,
44,65,143,65,65,5,,,,,,
45,70,154,56,70,5,,,,,,
46,75,150,60,75,5,,,,,,
47,80,160,64,80,5,,,,,,
48,85,170,51,68,5,,,,,,
49,72,162,54,72,5,,,,,,
50,76,152,57,57,5,,,,,,
51,80,140,60,60,5,,,,,,
52,84,63,42,63,5,,,,,,
53,66,44,44,66,5,,,,,,
54,69,46,46,69,5,,,,,,
55,72,48,48,72,5,,,,,,
56,75,25,50,50,5,,,,,,
57,52,26,26,52,5,,,,,,
58,54,27,27,54,5,,,,,,
59,56,28,0,28,5,,,,,,
60,58,29,0,29,5,,,,,,
61,0,30,0,30,5,,,,,,
62,0,31,0,31,5,,,,,,
63,0,32,0,32,5,,,,,,
64,0,33,0,33,5,,,,,,
65,0,34,0,34,5,,,,,,
66,0,0,0,35,5,,,,,,
67,6,11,4,9,5,,,,,,
68,12,22,8,18,5,,,,,,
69,18,33,12,27,5,,,,,,
70,20,44,16,36,5,,,,,,
71,25,55,20,45,5,,,,,,
72,30,66,24,54,5,,,,,,
73,35,77,28,56,5,,,,,,
74,40,80,32,56,5,,,,,,
75,45,90,36,63,5,,,,,,
76,50,100,40,70,5,,,,,,
77,55,110,44,77,5,,,,,,
78,60,108,24,84,5,,,,,,
79,52,117,26,91,5,,,,,,
80,56,126,28,84,5,,,,,,
81,60,135,30,90,5,,,,,,
82,64,128,32,96,5,,,,,,
83,68,119,34,85,5,,,,,,
84,54,126,18,54,5,,,,,,
85,38,133,19,57,5,,,,,,
86,40,140,20,40,5,,,,,,
87,42,147,21,42,5,,,,,,
88,44,132,22,44,5,,,,,,
89,46,115,23,46,5,,,,,,
90,48,48,0,48,5,,,,,,
91,25,50,0,50,5,,,,,,
92,26,52,0,26,5,,,,,,
93,27,27,0,27,5,,,,,,
94,28,28,0,28,5,,,,,,
95,29,29,0,29,5,,,,,,
96,0,30,0,30,5,,,,,,
97,8,9,8,5,5,,,,,,
98,16,18,16,10,5,,,,,,
99,24,27,21,12,5,,,,,,
0,6,10,5,9,6,,,,,,
1,12,20,10,18,6,,,,,,
2,18,30,15,27,6,,,,,,
3,24,40,20,36,6,,,,,,
4,30,50,25,45,6,,,,,,
5,36,60,30,54,6,,,,,,
6,42,70,35,63,6,,,,,,
7,48,80,40,72,6,,,,,,
8,54,90,45,63,6,,,,,,
9,60,100,50,70,6,,,,,,
10,55,88,55,66,6,,,,,,
11,60,96,48,72,6,,,,,,
12,65,104,52,52,6,,,,,,
13,70,112,56,56,6,,,,,,
14,75,120,60,60,6,,,,,,
15,80,128,64,64,6,,,,,,
16,85,119,51,68,6,,,,,,
17,90,126,54,72,6,,,,,,
18,95,114,57,76,6,,,,,,
19,60,80,60,40,6,,,,,,
20,63,84,63,42,6,,,,,,
21,44,66,44,44,6,,,,,,
22,46,69,46,23,6,,,,,,
23,24,72,48,24,6,,,,,,
24,25,25,50,25,6,,,,,,
25,26,26,52,26,6,,,,,,
26,0,0,54,27,6,,,,,,
27,0,0,28,28,6,,,,,,
28,0,0,29,0,6,,,,,,
29,0,0,30,0,6,,,,,,
30,6,7,6,11,6,,,,,,
31,12,14,12,22,6,,,,,,
32,18,18,18,33,6,,,,,,
33,24,24,24,44,6,,,,,,
34,30,30,30,55,6,,,,,,
35,30,36,36,66,6,,,,,,
36,35,42,42,77,6,,,,,,
37,24,48,48,88,6,,,,,,
38,18,54,54,99,6,,,,,,
39,20,60,60,110,6,,,,,,
40,22,66,55,110,6,,,,,,
41,24,72,48,120,6,,,,,,
42,13,78,52,130,6,,,,,,
43,14,84,56,126,6,,,,,,
44,15,90,60,135,6,,,,,,
45,16,96,64,128,6,,,,,,
46,17,102,51,136,6,,,,,,
47,18,90,36,144,6,,,,,,
48,19,95,38,133,6,,,,,,
49,20,80,40,140,6,,,,,,
50,0,84,42,147,6,,,,,,
51,0,66,22,132,6,,,,,,
52,0,69,23,69,6,,,,,,
53,0,72,24,72,6,,,,,,
54,0,50,25,50,6,,,,,,
55,0,26,26,26,6,,,,,,
56,0,27,27,27,6,,,,,,
57,0,28,28,28,6,,,,,,
58,0,0,29,29,6,,,,,,
59,7,10,3,10,6,,,,,,
60,14,20,6,20,6,,,,,,
61,21,30,9,30,6,,,,,,
62,24,40,12,40,6,,,,,,
63,30,50,15,50,6,,,,,,
64,36,60,18,60,6,,,,,,
65,42,70,21,70,6,,,,,,
66,48,80,24,80,6,,,,,,
67,54,90,27,90,6,,,,,,
68,60,100,30,90,6,,,,,,
69,66,110,33,99,6,,,,,,
70,72,120,36,108,6,,,,,,
71,78,117,39,104,6,,,,,,
72,84,126,42,98,6,,,,,,
73,90,135,45,105,6,,,,,,
74,96,112,48,80,6,,,,,,
75,102,119,51,85,6,,,,,,
76,108,126,54,90,6,,,,,,
77,114,133,57,95,6,,,,,,
78,100,120,40,80,6,,,,,,
79,105,126,42,84,6,,,,,,
80,110,110,22,88,6,,,,,,
81,69,92,23,92,6,,,,,,
82,48,96,24,72,6,,,,,,
83,25,75,25,50,6,,,,,,
84,26,78,26,52,6,,,,,,
85,27,81,27,54,6,,,,,,
86,28,84,28,56,6,,,,,,
87,29,58,29,58,6,,,,,,
88,0,60,30,60,6,,,,,,
89,0,31,31,31,6,,,,,,
90,0,32,32,32,6,,,,,,
91,5,10,9,6,6,,,,,,
92,10,20,18,12,6,,,,,,
93,15,30,27,18,6,,,,,,
94,20,40,36,24,6,,,,,,
95,25,50,45,30,6,,,,,,
96,30,54,54,36,6,,,,,,
97,35,63,63,42,6,,,,,,
98,40,72,72,48,6,,,,,,
99,45,81,81,54,6,,,,,,
0,6,5,12,7,7,,,,,,
1,12,10,24,14,7,,,,,,
2,18,15,33,21,7,,,,,,
3,24,20,44,28,7,,,,,,
4,30,25,55,35,7,,,,,,
5,36,30,66,42,7,,,,,,
6,35,35,77,49,7,,,,,,
7,40,40,80,56,7,,,,,,
8,45,45,90,63,7,,,,,,
9,50,50,100,70,7,,,,,,
10,55,55,110,77,7,,,,,,
11,60,60,108,84,7,,,,,,
12,65,65,104,91,7,,,,,,
13,70,70,84,84,7,,,,,,
14,75,75,90,90,7,,,,,,
15,80,80,96,96,7,,,,,,
16,85,68,102,102,7,,,,,,
17,90,72,90,108,7,,,,,,
18,76,76,95,114,7,,,,,,
19,60,40,100,100,7,,,,,,
20,21,42,105,63,7,,,,,,
21,22,44,110,66,7,,,,,,
22,0,23,69,69,7,,,,,,
23,0,24,72,48,7,,,,,,
24,0,25,75,50,7,,,,,,
25,0,0,26,52,7,,,,,,
26,0,0,27,54,7,,,,,,
27,0,0,0,56,7,,,,,,
28,0,0,0,58,7,,,,,,
29,0,0,0,30,7,,,,,,
30,0,0,0,31,7,,,,,,
31,0,0,0,32,7,,,,,,
32,0,0,0,33,7,,,,,,
33,0,0,0,34,7,,,,,,
34,4,8,8,10,7,,,,,,
35,8,16,16,20,7,,,,,,
36,12,24,24,30,7,,,,,,
37,16,32,32,40,7,,,,,,
38,20,40,40,50,7,,,,,,
39,24,48,48,60,7,,,,,,
40,28,56,56,70,7,,,,,,
41,32,64,64,80,7,,,,,,
42,36,72,72,81,7,,,,,,
43,40,80,80,90,7,,,,,,
44,44,88,88,99,7,,,,,,
45,48,96,96,108,7,,,,,,
46,52,104,104,117,7,,,,,,
47,42,112,112,126,7,,,,,,
48,45,105,120,120,7,,,,,,
49,32,112,112,112,7,,,,,,
50,34,119,102,102,7,,,,,,
51,36,90,108,90,7,,,,,,
52,38,57,95,95,7,,,,,,
53,40,60,80,100,7,,,,,,
54,42,21,84,84,7,,,,,,
55,44,0,88,88,7,,,,,,
56,46,0,92,69,7,,,,,,
57,48,0,96,72,7,,,,,,
58,50,0,100,75,7,,,,,,
59,52,0,104,52,7,,,,,,
60,54,0,81,54,7,,,,,,
